Date,Site,Parameter,Concentration,Detection,Group,,,,,,,,,
10/6/2019,1,EHEC,4.19,1,Bacteria,,,,,,,,,
10/6/2019,2,EHEC,3.13,1,Bacteria,,,,,,,,,
10/6/2019,3,EHEC,1.7,0,Bacteria,,,,,,,,,
10/7/2019,1,EHEC,3.93,1,Bacteria,,,,,,,,,
10/7/2019,2,EHEC,1.7,0,Bacteria,,,,,,,,,
10/7/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/8/2019,1,EHEC,2.3,0,Bacteria,,,,,,,,,
10/8/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/8/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/9/2019,1,EHEC,3.19,1,Bacteria,,,,,,,,,
10/9/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/9/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/10/2019,1,EHEC,2.97,1,Bacteria,,,,,,,,,
10/10/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/10/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/11/2019,1,EHEC,3.15,1,Bacteria,,,,,,,,,
10/11/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/11/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/12/2019,1,EHEC,2.9,1,Bacteria,,,,,,,,,
10/12/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/12/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/13/2019,1,EHEC,2.9,1,Bacteria,,,,,,,,,
10/13/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/13/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/15/2019,1,EHEC,2.6,0,Bacteria,,,,,,,,,
10/15/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/15/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/17/2019,1,EHEC,2.58,0,Bacteria,,,,,,,,,
10/17/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/17/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/18/2019,1,EHEC,1.98,0,Bacteria,,,,,,,,,
10/18/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/18/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/21/2019,1,EHEC,1.98,0,Bacteria,,,,,,,,,
10/21/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/21/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/28/2019,1,EHEC,1.98,0,Bacteria,,,,,,,,,
10/28/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
10/28/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
11/8/2019,1,EHEC,1.98,0,Bacteria,,,,,,,,,
11/8/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
11/8/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
11/13/2019,1,EHEC,1.98,0,Bacteria,,,,,,,,,
11/13/2019,2,EHEC,1.98,0,Bacteria,,,,,,,,,
11/13/2019,3,EHEC,1.98,0,Bacteria,,,,,,,,,
10/6/2019,1,CrAssphage,7.68,1,Virus,,,,,,,,,
10/6/2019,2,CrAssphage,6.53,1,Virus,,,,,,,,,
10/6/2019,3,CrAssphage,4.71,1,Virus,,,,,,,,,
10/7/2019,1,CrAssphage,7.11,1,Virus,,,,,,,,,
10/7/2019,2,CrAssphage,5.09,1,Virus,,,,,,,,,
10/7/2019,3,CrAssphage,4.1,1,Virus,,,,,,,,,
10/8/2019,1,CrAssphage,7.39,1,Virus,,,,,,,,,
10/8/2019,2,CrAssphage,4.49,1,Virus,,,,,,,,,
10/8/2019,3,CrAssphage,3.2,1,Virus,,,,,,,,,
10/9/2019,1,CrAssphage,7.5,1,Virus,,,,,,,,,
10/9/2019,2,CrAssphage,4.99,1,Virus,,,,,,,,,
10/9/2019,3,CrAssphage,2.96,1,Virus,,,,,,,,,
10/10/2019,1,CrAssphage,7.35,1,Virus,,,,,,,,,
10/10/2019,2,CrAssphage,4.35,1,Virus,,,,,,,,,
10/10/2019,3,CrAssphage,2.52,1,Virus,,,,,,,,,
10/11/2019,1,CrAssphage,7.23,1,Virus,,,,,,,,,
10/11/2019,2,CrAssphage,3.43,1,Virus,,,,,,,,,
10/11/2019,3,CrAssphage,2.12,0,Virus,,,,,,,,,
10/12/2019,1,CrAssphage,7.25,1,Virus,,,,,,,,,
10/12/2019,2,CrAssphage,4.43,1,Virus,,,,,,,,,
10/12/2019,3,CrAssphage,1.7,0,Virus,,,,,,,,,
10/13/2019,1,CrAssphage,7.36,1,Virus,,,,,,,,,
10/13/2019,2,CrAssphage,2.95,1,Virus,,,,,,,,,
10/13/2019,3,CrAssphage,2.07,0,Virus,,,,,,,,,
10/15/2019,1,CrAssphage,7.01,1,Virus,,,,,,,,,
10/15/2019,2,CrAssphage,4.36,1,Virus,,,,,,,,,
10/15/2019,3,CrAssphage,2.52,1,Virus,,,,,,,,,
10/17/2019,1,CrAssphage,6.1,1,Virus,,,,,,,,,
10/17/2019,2,CrAssphage,3.99,1,Virus,,,,,,,,,
10/17/2019,3,CrAssphage,3.47,1,Virus,,,,,,,,,
10/18/2019,1,CrAssphage,5.7,1,Virus,,,,,,,,,
10/18/2019,2,CrAssphage,3.38,1,Virus,,,,,,,,,
10/18/2019,3,CrAssphage,2.3,1,Virus,,,,,,,,,
10/21/2019,1,CrAssphage,4.47,1,Virus,,,,,,,,,
10/21/2019,2,CrAssphage,3.71,1,Virus,,,,,,,,,
10/21/2019,3,CrAssphage,3.14,1,Virus,,,,,,,,,
10/28/2019,1,CrAssphage,3.67,1,Virus,,,,,,,,,
10/28/2019,2,CrAssphage,2.4,1,Virus,,,,,,,,,
10/28/2019,3,CrAssphage,2,0,Virus,,,,,,,,,
11/8/2019,1,CrAssphage,3.36,0,Virus,,,,,,,,,
11/8/2019,2,CrAssphage,2.52,1,Virus,,,,,,,,,
11/8/2019,3,CrAssphage,2.12,1,Virus,,,,,,,,,
11/13/2019,1,CrAssphage,3.22,1,Virus,,,,,,,,,
11/13/2019,2,CrAssphage,2.75,1,Virus,,,,,,,,,
11/13/2019,3,CrAssphage,2.12,0,Virus,,,,,,,,,
10/6/2019,1,PMMoV,6.6,1,Virus,,,,,,,,,
10/6/2019,2,PMMoV,5.15,1,Virus,,,,,,,,,
10/6/2019,3,PMMoV,3.13,1,Virus,,,,,,,,,
10/7/2019,1,PMMoV,6.57,1,Virus,,,,,,,,,
10/7/2019,2,PMMoV,4.91,1,Virus,,,,,,,,,
10/7/2019,3,PMMoV,4.11,1,Virus,,,,,,,,,
10/8/2019,1,PMMoV,4.35,1,Virus,,,,,,,,,
10/8/2019,2,PMMoV,3.11,1,Virus,,,,,,,,,
10/8/2019,3,PMMoV,3.98,1,Virus,,,,,,,,,
10/9/2019,1,PMMoV,6.7,1,Virus,,,,,,,,,
10/9/2019,2,PMMoV,4.84,1,Virus,,,,,,,,,
10/9/2019,3,PMMoV,3.11,1,Virus,,,,,,,,,
10/10/2019,1,PMMoV,6.61,1,Virus,,,,,,,,,
10/10/2019,2,PMMoV,4.32,1,Virus,,,,,,,,,
10/10/2019,3,PMMoV,3.02,1,Virus,,,,,,,,,
10/11/2019,1,PMMoV,6.46,1,Virus,,,,,,,,,
10/11/2019,2,PMMoV,3.46,1,Virus,,,,,,,,,
10/11/2019,3,PMMoV,2.05,1,Virus,,,,,,,,,
10/12/2019,1,PMMoV,6.55,1,Virus,,,,,,,,,
10/12/2019,2,PMMoV,4.08,1,Virus,,,,,,,,,
10/12/2019,3,PMMoV,2.54,1,Virus,,,,,,,,,
10/13/2019,1,PMMoV,6.62,1,Virus,,,,,,,,,
10/13/2019,2,PMMoV,2.79,1,Virus,,,,,,,,,
10/13/2019,3,PMMoV,2.1,1,Virus,,,,,,,,,
10/15/2019,1,PMMoV,6.57,1,Virus,,,,,,,,,
10/15/2019,2,PMMoV,4.18,1,Virus,,,,,,,,,
10/15/2019,3,PMMoV,2.72,1,Virus,,,,,,,,,
10/17/2019,1,PMMoV,6.12,1,Virus,,,,,,,,,
10/17/2019,2,PMMoV,4.2,1,Virus,,,,,,,,,
10/17/2019,3,PMMoV,3.57,1,Virus,,,,,,,,,
10/18/2019,1,PMMoV,5.99,1,Virus,,,,,,,,,
10/18/2019,2,PMMoV,3.88,1,Virus,,,,,,,,,
10/18/2019,3,PMMoV,3.22,1,Virus,,,,,,,,,
10/21/2019,1,PMMoV,5.25,1,Virus,,,,,,,,,
10/21/2019,2,PMMoV,3.98,1,Virus,,,,,,,,,
10/21/2019,3,PMMoV,3.64,1,Virus,,,,,,,,,
10/28/2019,1,PMMoV,5.58,1,Virus,,,,,,,,,
10/28/2019,2,PMMoV,2.65,1,Virus,,,,,,,,,
10/28/2019,3,PMMoV,2.82,1,Virus,,,,,,,,,
11/8/2019,1,PMMoV,5.49,1,Virus,,,,,,,,,
11/8/2019,2,PMMoV,3.01,1,Virus,,,,,,,,,
11/8/2019,3,PMMoV,2.47,1,Virus,,,,,,,,,
11/13/2019,1,PMMoV,5.33,1,Virus,,,,,,,,,
11/13/2019,2,PMMoV,3.71,1,Virus,,,,,,,,,
11/13/2019,3,PMMoV,2.8,1,Virus,,,,,,,,,
10/6/2019,1,Adenovirus spp.,5.24,1,Virus,,,,,,,,,
10/6/2019,2,Adenovirus spp.,4.01,1,Virus,,,,,,,,,
10/6/2019,3,Adenovirus spp.,2.07,0,Virus,,,,,,,,,
10/7/2019,1,Adenovirus spp.,4.7,1,Virus,,,,,,,,,
10/7/2019,2,Adenovirus spp.,2.5,1,Virus,,,,,,,,,
10/7/2019,3,Adenovirus spp.,1.82,0,Virus,,,,,,,,,
10/8/2019,1,Adenovirus spp.,2.37,0,Virus,,,,,,,,,
10/8/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/8/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/9/2019,1,Adenovirus spp.,5.05,1,Virus,,,,,,,,,
10/9/2019,2,Adenovirus spp.,1.82,0,Virus,,,,,,,,,
10/9/2019,3,Adenovirus spp.,2.54,1,Virus,,,,,,,,,
10/10/2019,1,Adenovirus spp.,4.91,1,Virus,,,,,,,,,
10/10/2019,2,Adenovirus spp.,1.82,0,Virus,,,,,,,,,
10/10/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/11/2019,1,Adenovirus spp.,4.74,1,Virus,,,,,,,,,
10/11/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/11/2019,3,Adenovirus spp.,1.82,0,Virus,,,,,,,,,
10/12/2019,1,Adenovirus spp.,4.74,1,Virus,,,,,,,,,
10/12/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/12/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/13/2019,1,Adenovirus spp.,4.79,1,Virus,,,,,,,,,
10/13/2019,2,Adenovirus spp.,1.7,0,Virus,,,,,,,,,
10/13/2019,3,Adenovirus spp.,1.82,0,Virus,,,,,,,,,
10/15/2019,1,Adenovirus spp.,4.66,1,Virus,,,,,,,,,
10/15/2019,2,Adenovirus spp.,2.12,0,Virus,,,,,,,,,
10/15/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/17/2019,1,Adenovirus spp.,3.95,1,Virus,,,,,,,,,
10/17/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/17/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/18/2019,1,Adenovirus spp.,3.31,1,Virus,,,,,,,,,
10/18/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/18/2019,3,Adenovirus spp.,2,0,Virus,,,,,,,,,
10/21/2019,1,Adenovirus spp.,2.22,1,Virus,,,,,,,,,
10/21/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/21/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/28/2019,1,Adenovirus spp.,2.64,1,Virus,,,,,,,,,
10/28/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/28/2019,3,Adenovirus spp.,1.7,0,Virus,,,,,,,,,
11/8/2019,1,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
11/8/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
11/8/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
11/13/2019,1,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
11/13/2019,2,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
11/13/2019,3,Adenovirus spp.,1.76,0,Virus,,,,,,,,,
10/6/2019,1,Enterococci,5.42,1,Bacteria,,,,,,,,,
10/7/2019,1,Enterococci,5.24,1,Bacteria,,,,,,,,,
10/8/2019,1,Enterococci,4.90,1,Bacteria,,,,,,,,,
10/9/2019,1,Enterococci,3.72,1,Bacteria,,,,,,,,,
10/10/2019,1,Enterococci,3.87,1,Bacteria,,,,,,,,,
10/11/2019,1,Enterococci,3.61,1,Bacteria,,,,,,,,,
10/12/2019,1,Enterococci,3.61,1,Bacteria,,,,,,,,,
10/13/2019,1,Enterococci,3.00,1,Bacteria,,,,,,,,,
10/15/2019,1,Enterococci,2.70,1,Bacteria,,,,,,,,,
10/17/2019,1,Enterococci,4.10,1,Bacteria,,,,,,,,,
10/18/2019,1,Enterococci,3.45,1,Bacteria,,,,,,,,,
10/21/2019,1,Enterococci,2.61,1,Bacteria,,,,,,,,,
10/28/2019,1,Enterococci,2.00,1,Bacteria,,,,,,,,,
11/8/2019,1,Enterococci,,1,Bacteria,,,,,,,,,
11/13/2019,1,Enterococci,,1,Bacteria,,,,,,,,,
10/6/2019,2,Enterococci,4.30,1,Bacteria,,,,,,,,,
10/7/2019,2,Enterococci,3.15,1,Bacteria,,,,,,,,,
10/8/2019,2,Enterococci,3.27,1,Bacteria,,,,,,,,,
10/9/2019,2,Enterococci,3.76,1,Bacteria,,,,,,,,,
10/10/2019,2,Enterococci,3.11,1,Bacteria,,,,,,,,,
10/11/2019,2,Enterococci,3.08,1,Bacteria,,,,,,,,,
10/12/2019,2,Enterococci,3.08,1,Bacteria,,,,,,,,,
10/13/2019,2,Enterococci,3.00,1,Bacteria,,,,,,,,,
10/15/2019,2,Enterococci,2.88,1,Bacteria,,,,,,,,,
10/17/2019,2,Enterococci,3.30,1,Bacteria,,,,,,,,,
10/18/2019,2,Enterococci,2.93,1,Bacteria,,,,,,,,,
10/21/2019,2,Enterococci,3.38,1,Bacteria,,,,,,,,,
10/28/2019,2,Enterococci,2.30,1,Bacteria,,,,,,,,,
11/8/2019,2,Enterococci,,1,Bacteria,,,,,,,,,
11/13/2019,2,Enterococci,,1,Bacteria,,,,,,,,,
10/6/2019,3,Enterococci,2.58,1,Bacteria,,,,,,,,,
10/7/2019,3,Enterococci,2.08,1,Bacteria,,,,,,,,,
10/8/2019,3,Enterococci,2.12,1,Bacteria,,,,,,,,,
10/9/2019,3,Enterococci,2.30,1,Bacteria,,,,,,,,,
10/10/2019,3,Enterococci,2.16,1,Bacteria,,,,,,,,,
10/11/2019,3,Enterococci,2.19,1,Bacteria,,,,,,,,,
10/12/2019,3,Enterococci,2.23,1,Bacteria,,,,,,,,,
10/13/2019,3,Enterococci,1.80,1,Bacteria,,,,,,,,,
10/15/2019,3,Enterococci,1.80,1,Bacteria,,,,,,,,,
10/17/2019,3,Enterococci,3.15,1,Bacteria,,,,,,,,,
10/18/2019,3,Enterococci,2.38,1,Bacteria,,,,,,,,,
10/21/2019,3,Enterococci,3.05,1,Bacteria,,,,,,,,,
10/28/2019,3,Enterococci,1.80,1,Bacteria,,,,,,,,,
11/8/2019,3,Enterococci,,1,Bacteria,,,,,,,,,
11/13/2019,3,Enterococci,,1,Bacteria,,,,,,,,,
